node_id	title	genres
943	Toy Story (1995)	animation;children's;comedy
944	GoldenEye (1995)	action;adventure;thriller
945	Four Rooms (1995)	thriller
946	Get Shorty (1995)	action;comedy;drama
947	Copycat (1995)	crime;drama;thriller
948	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	drama
949	Twelve Monkeys (1995)	drama;sci-fi
950	Babe (1995)	children's;comedy;drama
951	Dead Man Walking (1995)	drama
952	Richard III (1995)	drama;war
953	Seven (Se7en) (1995)	crime;thriller
954	Usual Suspects, The (1995)	crime;thriller
955	Mighty Aphrodite (1995)	comedy
956	Postino, Il (1994)	drama;romance
957	Mr. Holland's Opus (1995)	drama
958	French Twist (Gazon maudit) (1995)	comedy;romance
959	From Dusk Till Dawn (1996)	action;comedy;crime;horror;thriller
960	White Balloon, The (1995)	drama
961	Antonia's Line (1995)	drama
962	Angels and Insects (1995)	drama;romance
963	Muppet Treasure Island (1996)	action;adventure;comedy;musical;thriller
964	Braveheart (1995)	action;drama;war
965	Taxi Driver (1976)	drama;thriller
966	Rumble in the Bronx (1995)	action;adventure;crime
967	Birdcage, The (1996)	comedy
968	Brothers McMullen, The (1995)	comedy
969	Bad Boys (1995)	action
970	Apollo 13 (1995)	action;drama;thriller
971	Batman Forever (1995)	action;adventure;comedy;crime
972	Belle de jour (1967)	drama
973	Crimson Tide (1995)	drama;thriller;war
974	Crumb (1994)	documentary
975	Desperado (1995)	action;romance;thriller
976	Doom Generation, The (1995)	comedy;drama
977	Free Willy 2: The Adventure Home (1995)	adventure;children's;drama
978	Mad Love (1995)	drama;romance
979	Nadja (1994)	drama
980	Net, The (1995)	sci-fi;thriller
981	Strange Days (1995)	action;crime;sci-fi
982	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	comedy
983	Billy Madison (1995)	comedy
984	Clerks (1994)	comedy
985	Disclosure (1994)	drama;thriller
986	Dolores Claiborne (1994)	drama;thriller
987	Eat Drink Man Woman (1994)	comedy;drama
988	Exotica (1994)	drama
989	Ed Wood (1994)	comedy;drama
990	Hoop Dreams (1994)	documentary
991	I.Q. (1994)	comedy;romance
992	Star Wars (1977)	action;adventure;romance;sci-fi;war
993	Legends of the Fall (1994)	drama;romance;war;western
994	Madness of King George, The (1994)	drama
995	Natural Born Killers (1994)	action;thriller
996	Outbreak (1995)	action;drama;thriller
997	Professional, The (1994)	crime;drama;romance;thriller
998	Pulp Fiction (1994)	crime;drama
999	Priest (1994)	drama
1000	Quiz Show (1994)	drama
1001	Three Colors: Red (1994)	drama
1002	Three Colors: Blue (1993)	drama
1003	Three Colors: White (1994)	drama
1004	Stargate (1994)	action;adventure;sci-fi
1005	Santa Clause, The (1994)	children's;comedy
1006	Shawshank Redemption, The (1994)	drama
1007	What's Eating Gilbert Grape (1993)	comedy;drama
1008	While You Were Sleeping (1995)	comedy;romance
1009	Ace Ventura: Pet Detective (1994)	comedy
1010	Crow, The (1994)	action;romance;thriller
1011	Forrest Gump (1994)	comedy;romance;war
1012	Four Weddings and a Funeral (1994)	comedy;romance
1013	Lion King, The (1994)	animation;children's;musical
1014	Mask, The (1994)	comedy;crime;fantasy
1015	Maverick (1994)	action;comedy;western
1016	Faster Pussycat! Kill! Kill! (1965)	action;comedy;drama
1017	Brother Minister: The Assassination of Malcolm X (1994)	documentary
1018	Carlito's Way (1993)	crime;drama
1019	Firm, The (1993)	drama;thriller
1020	Free Willy (1993)	adventure;children's;drama
1021	Fugitive, The (1993)	action;thriller
1022	Hot Shots! Part Deux (1993)	action;comedy;war
1023	Hudsucker Proxy, The (1994)	comedy;romance
1024	Jurassic Park (1993)	action;adventure;sci-fi
1025	Much Ado About Nothing (1993)	comedy;romance
1026	Robert A. Heinlein's The Puppet Masters (1994)	horror;sci-fi
1027	Ref, The (1994)	comedy
1028	Remains of the Day, The (1993)	drama
1029	Searching for Bobby Fischer (1993)	drama
1030	Sleepless in Seattle (1993)	comedy;romance
1031	Blade Runner (1982)	film-noir;sci-fi
1032	So I Married an Axe Murderer (1993)	comedy;romance;thriller
1033	Nightmare Before Christmas, The (1993)	children's;comedy;musical
1034	True Romance (1993)	action;crime;romance
1035	Welcome to the Dollhouse (1995)	comedy;drama
1036	Home Alone (1990)	children's;comedy
1037	Aladdin (1992)	animation;children's;comedy;musical
1038	Terminator 2: Judgment Day (1991)	action;sci-fi;thriller
1039	Dances with Wolves (1990)	adventure;drama;western
1040	Silence of the Lambs, The (1991)	drama;thriller
1041	Snow White and the Seven Dwarfs (1937)	animation;children's;musical
1042	Fargo (1996)	crime;drama;thriller
1043	Heavy Metal (1981)	action;adventure;animation;horror;sci-fi
1044	Aristocats, The (1970)	animation;children's
1045	All Dogs Go to Heaven 2 (1996)	animation;children's;musical
1046	Theodore Rex (1995)	comedy
1047	Sgt. Bilko (1996)	comedy
1048	Diabolique (1996)	drama;thriller
1049	Moll Flanders (1996)	drama
1050	Kids in the Hall: Brain Candy (1996)	comedy
1051	Mystery Science Theater 3000: The Movie (1996)	comedy;sci-fi
1052	Operation Dumbo Drop (1995)	action;adventure;comedy;war
1053	Truth About Cats & Dogs, The (1996)	comedy;romance
1054	Flipper (1996)	adventure;children's
1055	Horseman on the Roof, The (Hussard sur le toit, Le) (1995)	drama
1056	Wallace & Gromit: The Best of Aardman Animation (1996)	animation
1057	Haunted World of Edward D. Wood Jr., The (1995)	documentary
1058	Cold Comfort Farm (1995)	comedy
1059	Rock, The (1996)	action;adventure;thriller
1060	Twister (1996)	action;adventure;thriller
1061	Maya Lin: A Strong Clear Vision (1994)	documentary
1062	Striptease (1996)	comedy;crime
1063	Independence Day (ID4) (1996)	action;sci-fi;war
1064	Cable Guy, The (1996)	comedy
1065	Frighteners, The (1996)	comedy;horror
1066	Lone Star (1996)	drama;mystery
1067	Phenomenon (1996)	drama;romance
1068	Spitfire Grill, The (1996)	drama
1069	Godfather, The (1972)	action;crime;drama
1070	Supercop (1992)	action;thriller
1071	Bound (1996)	crime;drama;romance;thriller
1072	Kansas City (1996)	crime
1073	Breakfast at Tiffany's (1961)	drama;romance
1074	Wizard of Oz, The (1939)	adventure;children's;drama;musical
1075	Gone with the Wind (1939)	drama;romance;war
1076	Citizen Kane (1941)	drama
1077	2001: A Space Odyssey (1968)	drama;mystery;sci-fi;thriller
1078	Mr. Smith Goes to Washington (1939)	drama
1079	Big Night (1996)	drama
1080	D3: The Mighty Ducks (1996)	children's;comedy
1081	Love Bug, The (1969)	children's;comedy
1082	Homeward Bound: The Incredible Journey (1993)	adventure;children's
1083	20,000 Leagues Under the Sea (1954)	adventure;children's;fantasy;sci-fi
1084	Bedknobs and Broomsticks (1971)	adventure;children's;musical
1085	Sound of Music, The (1965)	musical
1086	Die Hard (1988)	action;thriller
1087	Lawnmower Man, The (1992)	action;sci-fi;thriller
1088	Unhook the Stars (1996)	drama
1089	Long Kiss Goodnight, The (1996)	action;thriller
1090	Ghost and the Darkness, The (1996)	action;adventure
1091	Jude (1996)	drama
1092	Swingers (1996)	comedy;drama
1093	Willy Wonka and the Chocolate Factory (1971)	adventure;children's;comedy
1094	Sleeper (1973)	comedy;sci-fi
1095	Fish Called Wanda, A (1988)	comedy
1096	Monty Python's Life of Brian (1979)	comedy
1097	Dirty Dancing (1987)	musical;romance
1098	Reservoir Dogs (1992)	crime;thriller
1099	Platoon (1986)	drama;war
1100	Weekend at Bernie's (1989)	comedy
1101	Basic Instinct (1992)	mystery;thriller
1102	Glengarry Glen Ross (1992)	drama
1103	Top Gun (1986)	action;romance
1104	On Golden Pond (1981)	drama
1105	Return of the Pink Panther, The (1974)	comedy
1106	Abyss, The (1989)	action;adventure;sci-fi;thriller
1107	Jean de Florette (1986)	drama
1108	Manon of the Spring (Manon des sources) (1986)	drama
1109	Private Benjamin (1980)	comedy
1110	Monty Python and the Holy Grail (1974)	comedy
1111	Wrong Trousers, The (1993)	animation;comedy
1112	Cinema Paradiso (1988)	comedy;drama;romance
