node_id	name	gender	age	job
0	james	M	24	technician
1	patricia	F	53	other
2	robert	M	23	writer
3	michael	M	24	technician
4	elizabeth	F	33	other
5	david	M	42	executive
6	richard	M	57	administrator
7	charles	M	36	administrator
8	joseph	M	29	student
9	thomas	M	53	lawyer
10	lisa	F	39	other
11	nancy	F	28	other
12	paul	M	47	educator
13	mark	M	45	scientist
14	helen	F	49	educator
15	george	M	21	entertainment
16	kenneth	M	30	programmer
17	carol	F	35	other
18	edward	M	40	librarian
19	sharon	F	42	homemaker
20	ronald	M	26	writer
21	anthony	M	25	writer
22	sarah	F	30	artist
23	kimberly	F	21	artist
24	matthew	M	39	engineer
25	gary	M	49	engineer
26	shirley	F	40	librarian
27	jose	M	32	writer
28	larry	M	41	programmer
29	jeffrey	M	7	student
30	frank	M	24	artist
31	amy	F	28	student
32	eric	M	23	student
33	rebecca	F	38	administrator
34	virginia	F	20	homemaker
35	kathleen	F	19	student
36	gregory	M	23	student
37	martha	F	28	other
38	jerry	M	41	entertainment
39	dennis	M	38	scientist
40	walter	M	33	engineer
41	patrick	M	30	administrator
42	christine	F	29	librarian
43	harold	M	26	technician
44	douglas	M	29	programmer
45	catherine	F	27	marketing
46	carl	M	53	marketing
47	arthur	M	45	administrator
48	joyce	F	23	student
49	roger	M	21	writer
50	joe	M	28	educator
51	julie	F	18	student
52	jack	M	26	programmer
53	albert	M	22	executive
54	jonathan	M	37	programmer
55	justin	M	25	librarian
56	terry	M	16	none
57	gerald	M	27	programmer
58	keith	M	49	educator
59	samuel	M	50	healthcare
60	willie	M	36	engineer
61	joan	F	27	administrator
62	lawrence	M	31	marketing
63	nicholas	M	32	educator
64	rose	F	51	educator
65	benjamin	M	23	student
66	bruce	M	17	student
67	brandon	M	19	student
68	adam	M	24	engineer
69	harry	M	27	engineer
70	fred	M	39	scientist
71	theresa	F	48	administrator
72	billy	M	24	student
73	steve	M	39	scientist
74	louis	M	24	entertainment
75	jeremy	M	20	student
76	aaron	M	30	technician
77	randy	M	26	administrator
78	rachel	F	39	administrator
79	marilyn	F	34	administrator
